Daniel Powter
Bad Day
5834496 0
8783616 0
4524288 0
4917504 0
6949120 0
7932160 0
6294016 0
2821632 0
3478272 0
5313280 0
2426117 790
3540229 790
4261125 790
4523269 790
5440773 790
7275781 790
8324869 790
6687237 790
5049093 790
7604997 790
4263941 790
6034181 790
8459013 790
5510661 790
2622725 819
3540229 819
5375237 819
6424325 819
7276293 819
7735045 819
4786693 819
8391173 819
8849925 819
3148549 819
5704453 819
4133637 819
6558469 819
3610117 819
3015941 827
4850949 827
5900037 827
6752005 827
7210757 827
4262405 827
7866885 827
8325637 827
8784389 827
2624261 827
5180165 827
3609349 827
6034181 827
3085829 827
3736837 844
8521221 844
4785925 844
5637893 844
6096645 844
3148293 844
6752773 844
7211525 844
7670277 844
4066053 844
2495237 844
4920069 844
3015941 855
7800325 855
4065029 855
4916997 855
5375749 855
2427397 855
6031877 855
6490629 855
6949381 855
3345157 855
4199173 855
2753797 859
8652037 859
7538181 859
3802885 859
4654853 859
5113605 859
5769733 859
6228485 859
6687237 859
3083013 859
3937029 859
8786693 859
7734533 873
8455429 873
6620677 873
2885381 873
3737349 873
4196101 873
8849669 873
4852229 873
5310981 873
5769733 873
3019525 873
7869189 873
5899525 901
6620421 901
8848645 901
4785669 901
7014661 901
3017221 901
3475973 901
3934725 901
7801349 901
7278597 901
6034181 901
2950405 991
7603461 991
8586501 991
3737093 991
4785669 991
5506565 991
6161925 991
3280901 991
4461061 991
4985349 991
6885893 991
6559237 991
7345669 991
6882565 1002
7865605 1002
3016197 1002
4064773 1002
4785669 1002
5441029 1002
2560005 1002
3740165 1002
4264453 1002
6164997 1002
5838341 1002
6624773 1002
8853509 1002
4654341 1036
5637381 1036
7406853 1036
2557445 1036
3212805 1036
8062469 1036
8652293 1036
6687237 1036
3936773 1036
3610117 1036
4396549 1036
7869957 1036
6625285 1036
6887429 1036
7477253 1036
2753797 1107
5833989 1107
8258821 1107
3409413 1107
3999237 1107
7735301 1107
8849413 1107
4983045 1107
5245189 1107
6098949 1107
6950917 1107
5313029 1107
7737861 1107
8000261 1107
8327941 1107
3216901 1107
2824197 1107
4850949 1122
7275781 1122
2426373 1122
3016197 1122
6752261 1122
7866373 1122
4000005 1122
4262149 1122
5115909 1122
5967877 1122
4329989 1122
6754821 1122
7017221 1122
7344901 1122
8459013 1122
8197637 1122
3081477 1149
5506309 1149
7931141 1149
4982789 1149
6096901 1149
7407621 1149
2492677 1149
8653573 1149
3346437 1149
4198405 1149
2560517 1149
4985349 1149
5247749 1149
5575429 1149
6689541 1149
6428165 1149
8525317 1149
2426117 1196
4850949 1196
6424325 1196
7014149 1196
3016709 1196
4327429 1196
6752261 1196
7408133 1196
5573381 1196
2495237 1196
3609349 1196
7869701 1196
3347973 1196
5445125 1196
2426117 1233
7210501 1233
3999493 1233
4589317 1233
7538437 1233
8324869 1233
8783621 1233
4327429 1233
4983301 1233
3148549 1233
8458757 1233
5444869 1233
3020293 1233
8197893 1233
7275781 1270
8324357 1270
4785669 1270
5113605 1270
5900037 1270
6358789 1270
8849157 1270
6621445 1270
2558469 1270
6033925 1270
7672581 1270
8196869 1270
3020037 1270
5773061 1270
5440773 1381
7210245 1381
4785925 1381
7800581 1381
8587013 1381
3278853 1381
4196357 1381
6426629 1381
3412229 1381
4657925 1381
5051909 1381
5969413 1381
3086597 1381
4392197 1397
6161669 1397
8586501 1397
3737349 1397
6752005 1397
7538437 1397
3147781 1397
8063237 1397
5378053 1397
3609349 1397
8655621 1397
4003333 1397
4920837 1397
4195589 1464
4785413 1464
6620677 1464
3147525 1464
7669765 1464
8521733 1464
3672325 1464
6228229 1464
7016453 1464
4264709 1464
5182213 1464
5444357 1464
6689541 1464
7803653 1464
8067077 1464
2426117 1491
3015941 1491
4851205 1491
7865861 1491
7276293 1491
5900293 1491
6752261 1491
4458757 1491
5246981 1491
2495237 1491
3412741 1491
3674885 1491
4920069 1491
6034181 1491
8459525 1491
6297605 1491
2426373 1528
5441029 1528
7276037 1528
4851461 1528
3475461 1528
4327429 1528
8390661 1528
8850437 1528
6688005 1528
2822149 1528
2495237 1528
3609349 1528
6034693 1528
3872773 1528
8001541 1528
4851205 1537
6686213 1537
4261637 1537
2885637 1537
3737605 1537
7800837 1537
8260613 1537
6098181 1537
3019525 1537
5444869 1537
3282949 1537
7411717 1537
8460293 1537
2426117 1676
5440773 1676
7210501 1676
4785925 1676
7538693 1676
8259589 1676
5703941 1676
6621445 1676
3279365 1676
4327941 1676
5378565 1676
3216133 1676
3609349 1676
3937029 1676
4526853 1676
8459013 1676
8852229 1676
5903365 1676
8066309 1676
3015941 1713
7865605 1713
8848645 1713
4785669 1713
7210501 1713
5113861 1713
5834757 1713
6752261 1713
3279109 1713
4196613 1713
2953733 1713
6034181 1713
6427397 1713
3478533 1713
5641477 1713
8852997 1713
4850949 1759
5833989 1759
8848645 1759
4195845 1759
6620677 1759
7407365 1759
7735045 1759
8324869 1759
2820101 1759
3737605 1759
6228741 1759
3019525 1759
3412741 1759
2626821 1759
5838341 1759
3998981 1833
6620677 1833
2557701 1833
2885381 1833
3475205 1833
4786181 1833
4327941 1833
5573125 1833
5836293 1833
4264709 1833
3015941 1848
5637637 1848
8652293 1848
2492165 1848
3803141 1848
8062981 1848
3344901 1848
4590085 1848
4853253 1848
3281669 1848
7472389 1894
2622981 1894
5637637 1894
8587013 1894
5048325 1894
6621445 1894
6949381 1894
